feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,label
1,32,3.125,3.125,1.0,0.0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True
1,26,30.76923077,3.846153846,35.0,0.0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True
1,34,5.882352941,0.0,40.02,0.0,1,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False
1,28,42.85714286,14.28571429,40.02,0.0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False
1,27,88.88888889,7.407407407,39.95,0.0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True
1,47,6.382978723,4.255319149,68.89,0.051282051,0,0,0,78,-1,False,False,False,False,False,False,True,False,False,False,True
1,43,9.302325581,0.0,67.13,0.0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,True,False
1,37,0.0,0.0,40.02,0.0,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False
1,26,80.76923077,26.92307692,46.7,0.0,1,0,0,0,-14,False,False,False,False,False,False,True,False,False,False,True
1,39,71.79487179,25.64102564,81.33,0.036796537,0,0,0,924,-2,False,False,False,False,False,False,True,False,False,True,False
1,67,14.92537313,1.492537313,68.88,0.126262626,1,1,1,792,-3,False,False,False,False,False,True,False,False,True,False,False
0,0,0.0,0.0,84.45,0.0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,True,False
1,42,28.57142857,0.0,73.94,0.142857143,0,0,0,14,0,False,False,False,False,False,False,True,False,True,False,False
1,22,22.72727273,9.090909091,35.13,0.0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True
1,46,8.695652174,0.0,30.0,0.0689655172413793,1,0,0,29,-12,False,False,True,False,False,False,False,False,False,False,True
1,45,4.444444444,0.0,40.0,0.0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True
1,37,21.62162162,0.0,35.08,0.0,0,0,0,0,-668,True,False,False,False,False,False,False,False,False,True,False
1,16,0.0,0.0,62.66,0.0,0,0,0,0,-84,True,False,False,False,False,False,False,False,True,False,False
1,31,9.677419355,6.451612903,86.28,0.111111111111111,1,0,0,18,-3,False,False,False,False,False,True,False,False,False,False,True
1,35,0.0,0.0,40.02,0.0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False
1,27,14.81481481,7.407407407,1.02,0.0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,True,False
1,41,4.87804878,0.0,33.09,0.0,0,0,0,0,-742,False,False,False,False,False,True,False,False,False,True,False
1,30,13.33333333,0.0,40.02,0.0,1,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False
1,34,38.23529412,26.47058824,69.11,0.0,1,1,0,0,-77,False,False,False,False,True,False,False,False,False,True,False
1,16,0.0,0.0,51.63,0.0,0,0,0,0,-170,False,False,False,False,False,True,False,False,True,False,False
1,45,4.444444444,0.0,100.33,0.0,1,0,0,0,-20,False,False,True,False,False,False,False,False,False,False,True
1,44,4.545454545,0.0,46.12,0.0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,True,False
1,45,2.222222222,0.0,52.13,0.083333333,1,0,0,36,0,True,False,False,False,False,False,False,False,True,False,False
1,42,11.9047619,0.0,90.9,0.0,1,0,0,0,-3,False,False,False,False,False,True,False,False,False,False,True
